text,sentiment
Amazing product quality and fast delivery,positive
Food was delicious and service was quick,positive
Poor packaging and late delivery,negative
Decent quality but could be better,neutral
Worst product ever do not buy,negative
Absolutely loved the cinematography,positive
Brilliant direction and amazing performances,positive
The film was boring and too long,negative
Decent movie with some good moments,neutral
Not worth the price,negative
Excellent service and tasty food,positive
Very bad experience waste of money,negative
Excellent build quality totally worth it,positive
Very rude staff and poor hygiene,negative
This movie was fantastic and very engaging,positive
Average storyline but good acting,neutral
Average product nothing special,neutral
Good value for money satisfied with purchase,positive
Average taste but good ambiance,neutral
Worst movie I have ever watched,negative
